as_of,horizon,metric,metric_name,n_train,n_test,tickers,window,timestamp
2025-08-21 00:00:00,10,0.2222222222222222,F1_macro,707,4,MBLY,expanding,2025-10-09 21:00:01.072972
2025-08-28 00:00:00,10,0.2222222222222222,F1_macro,712,4,MBLY,expanding,2025-10-09 21:00:01.072972
2025-09-05 00:00:00,10,0.2222222222222222,F1_macro,717,4,MBLY,expanding,2025-10-09 21:00:01.072972
2025-09-12 00:00:00,10,0.4444444444444444,F1_macro,722,4,MBLY,expanding,2025-10-09 21:00:01.072972
2025-09-19 00:00:00,10,0.0,F1_macro,727,4,MBLY,expanding,2025-10-09 21:00:01.072972
2025-09-26 00:00:00,10,0.3333333333333333,F1_macro,732,4,MBLY,expanding,2025-10-09 21:00:01.072972
2025-08-07 00:00:00,10,0.1666666666666666,F1_macro,697,4,MBLY,expanding,2025-10-09 21:29:19.186241
2025-08-14 00:00:00,10,0.2222222222222222,F1_macro,702,4,MBLY,expanding,2025-10-09 21:29:19.186241
2025-08-21 00:00:00,10,0.2222222222222222,F1_macro,707,4,MBLY,expanding,2025-10-09 21:29:19.186241
2025-08-28 00:00:00,10,0.2222222222222222,F1_macro,712,4,MBLY,expanding,2025-10-09 21:29:19.186241
2025-09-05 00:00:00,10,0.2222222222222222,F1_macro,717,4,MBLY,expanding,2025-10-09 21:29:19.186241
2025-09-12 00:00:00,10,0.4444444444444444,F1_macro,722,4,MBLY,expanding,2025-10-09 21:29:19.186241
2025-09-19 00:00:00,10,0.0,F1_macro,727,4,MBLY,expanding,2025-10-09 21:29:19.186241
2025-09-26 00:00:00,10,0.3333333333333333,F1_macro,732,4,MBLY,expanding,2025-10-09 21:29:19.186241
2025-08-07 00:00:00,10,0.16666666666666666,F1_macro,697,4,MBLY,expanding,2025-10-09 21:51:59.018889
2025-08-14 00:00:00,10,0.2222222222222222,F1_macro,702,4,MBLY,expanding,2025-10-09 21:51:59.018889
2025-08-21 00:00:00,10,0.2222222222222222,F1_macro,707,4,MBLY,expanding,2025-10-09 21:51:59.018889
2025-08-28 00:00:00,10,0.2222222222222222,F1_macro,712,4,MBLY,expanding,2025-10-09 21:51:59.018889
2025-09-05 00:00:00,10,0.2222222222222222,F1_macro,717,4,MBLY,expanding,2025-10-09 21:51:59.018889
2025-09-12 00:00:00,10,0.4444444444444444,F1_macro,722,4,MBLY,expanding,2025-10-09 21:51:59.018889
2025-09-19 00:00:00,10,0.0,F1_macro,727,4,MBLY,expanding,2025-10-09 21:51:59.018889
2025-09-26 00:00:00,10,0.3333333333333333,F1_macro,732,4,MBLY,expanding,2025-10-09 21:51:59.018889
