file,rows,missing_cols,high_missing,reasons
BAI.parquet,238,,,low_rows(238)
BAIG.parquet,31,,,low_rows(31)
BALY.parquet,206,,,low_rows(206)
BASG.parquet,77,,,low_rows(77)
BASV.parquet,77,,,low_rows(77)
BAYAR.parquet,1,,,low_rows(1)
BBB.parquet,198,,,low_rows(198)
BBNX.parquet,171,,,low_rows(171)
BCAR.parquet,32,,,low_rows(32)
BCARU.parquet,46,,,low_rows(46)
BCCC.parquet,85,,,low_rows(85)
BCHI.parquet,161,,,low_rows(161)
BCKT.parquet,8,,,low_rows(8)
BCLO.parquet,171,,,low_rows(171)
BCOR.parquet,109,,,low_rows(109)
BCTXZ.parquet,1,,,low_rows(1)
BDBT.parquet,73,,,low_rows(73)
BDCIU.parquet,4,,,low_rows(4)
BDVL.parquet,15,,,low_rows(15)
BDYN.parquet,15,,,low_rows(15)
BEAG.parquet,200,,,low_rows(200)
BEAGR.parquet,1,,,low_rows(1)
BEAGU.parquet,236,,,low_rows(236)
BEEX.parquet,200,,,low_rows(200)
BEGS.parquet,165,,,low_rows(165)
BENJ.parquet,176,,,low_rows(176)
BESF.parquet,85,,,low_rows(85)
BFAP.parquet,126,,,low_rows(126)
BFJL.parquet,67,,,low_rows(67)
BFOC.parquet,3,,,low_rows(3)
BFRE.parquet,132,,,low_rows(132)
BFRZ.parquet,100,,,low_rows(100)
BGDV.parquet,202,,,low_rows(202)
BGL.parquet,70,,,low_rows(70)
BIDD.parquet,219,,,low_rows(219)
BIGY.parquet,216,,,low_rows(216)
BILT.parquet,46,,,low_rows(46)
BINT.parquet,73,,,low_rows(73)
BITK.parquet,8,,,low_rows(8)
BITY.parquet,108,,,low_rows(108)
BIYA.parquet,136,,,low_rows(136)
BKCG.parquet,130,,,low_rows(130)
BKDV.parquet,226,,,low_rows(226)
BKHAR.parquet,1,,,low_rows(1)
BKNU.parquet,13,,,low_rows(13)
BLGR.parquet,73,,,low_rows(73)
BLIV.parquet,126,,,low_rows(126)
BLOX.parquet,76,,,low_rows(76)
BLSH.parquet,37,,,low_rows(37)
BLST.parquet,73,,,low_rows(73)
BLTD.parquet,73,,,low_rows(73)
BLUC.parquet,73,,,low_rows(73)
BLUI.parquet,72,,,low_rows(72)
BLUWU.parquet,81,,,low_rows(81)
BLUX.parquet,72,,,low_rows(72)
BLZRU.parquet,19,,,low_rows(19)
BMAX.parquet,141,,,low_rows(141)
BMGL.parquet,154,,,low_rows(154)
BMHL.parquet,60,,,low_rows(60)
BMNR.parquet,84,,,low_rows(84)
BMNU.parquet,6,,,low_rows(6)
BNDS.parquet,181,,,low_rows(181)
BNDY.parquet,65,,,low_rows(65)
BNKD.parquet,157,,,low_rows(157)
BNKU.parquet,157,,,low_rows(157)
BOBP.parquet,94,,,low_rows(94)
BOED.parquet,114,,,low_rows(114)
BOEG.parquet,78,,,low_rows(78)
BOEU.parquet,114,,,low_rows(114)
BOWNR.parquet,1,,,low_rows(1)
BOXA.parquet,198,,,low_rows(198)
BPH.parquet,186,,,low_rows(186)
BPI.parquet,128,,,low_rows(128)
BRBI.parquet,11,,,low_rows(11)
BRCB.parquet,16,,,low_rows(16)
BRIA.parquet,212,,,low_rows(212)
BRIF.parquet,193,,,low_rows(193)
BRKC.parquet,84,,,low_rows(84)
BRKD.parquet,199,,,low_rows(199)
BRKRP.parquet,22,,,low_rows(22)
BRKU.parquet,203,,,low_rows(203)
BRKW.parquet,75,,,low_rows(75)
BRR.parquet,82,,,low_rows(82)
BRRWU.parquet,97,,,low_rows(97)
BSAA.parquet,41,,,low_rows(41)
BSAAR.parquet,1,,,low_rows(1)
BSAAU.parquet,78,,,low_rows(78)
BSCZ.parquet,80,,,low_rows(80)
BSJX.parquet,80,,,low_rows(80)
BSMZ.parquet,13,,,low_rows(13)
BTCC.parquet,128,,,low_rows(128)
BTCI.parquet,241,,,low_rows(241)
BTGD.parquet,242,,,low_rows(242)
BTQ.parquet,6,,,low_rows(6)
BTTC.parquet,2,,,low_rows(2)
BUFH.parquet,71,,,low_rows(71)
BUFI.parquet,204,,,low_rows(204)
BUFM.parquet,203,,,low_rows(203)
BUFX.parquet,71,,,low_rows(71)
BULG.parquet,39,,,low_rows(39)
BULU.parquet,46,,,low_rows(46)
BULX.parquet,23,,,low_rows(23)
BUSEP.parquet,99,,,low_rows(99)
BUUU.parquet,36,,,low_rows(36)
BUYO.parquet,248,,,low_rows(248)
BVAL.parquet,72,,,low_rows(72)
CAEP.parquet,70,,,low_rows(70)
CAI.parquet,75,,,low_rows(75)
CAIE.parquet,71,,,low_rows(71)
CAMP.parquet,245,,,low_rows(245)
CAPN.parquet,236,,,low_rows(236)
CAPNR.parquet,1,,,low_rows(1)
CARL.parquet,52,,,low_rows(52)
CAS.parquet,182,,,low_rows(182)
CBK.parquet,2,,,low_rows(2)
CBLL.parquet,245,,,low_rows(245)
CBOA.parquet,125,,,low_rows(125)
CBOJ.parquet,177,,,low_rows(177)
CBOY.parquet,63,,,low_rows(63)
CBTA.parquet,125,,,low_rows(125)
CBTJ.parquet,168,,,low_rows(168)
CBTY.parquet,63,,,low_rows(63)
CBXA.parquet,125,,,low_rows(125)
CBXJ.parquet,168,,,low_rows(168)
CBXY.parquet,63,,,low_rows(63)
CCCX.parquet,64,,,low_rows(64)
CCCXU.parquet,100,,,low_rows(100)
CCFE.parquet,79,,,low_rows(79)
CCHH.parquet,1,,,low_rows(1)
CCII.parquet,30,,,low_rows(30)
CCIIU.parquet,67,,,low_rows(67)
CCUP.parquet,39,,,low_rows(39)
CDIG.parquet,13,,,low_rows(13)
CEFZ.parquet,44,,,low_rows(44)
CEGX.parquet,60,,,low_rows(60)
CEPF.parquet,31,,,low_rows(31)
CEPI.parquet,208,,,low_rows(208)
CEPO.parquet,186,,,low_rows(186)
CEPT.parquet,107,,,low_rows(107)
CFIT.parquet,131,,,low_rows(131)
CFND.parquet,41,,,low_rows(41)
CGCT.parquet,72,,,low_rows(72)
CGCTU.parquet,107,,,low_rows(107)
CGGG.parquet,70,,,low_rows(70)
CGHY.parquet,70,,,low_rows(70)
CGMM.parquet,180,,,low_rows(180)
CGTL.parquet,213,,,low_rows(213)
CGVV.parquet,70,,,low_rows(70)
CHA.parquet,117,,,low_rows(117)
CHAC.parquet,96,,,low_rows(96)
CHACR.parquet,1,,,low_rows(1)
CHACU.parquet,112,,,low_rows(112)
CHAR.parquet,213,,,low_rows(213)
CHARR.parquet,1,,,low_rows(1)
CHARU.parquet,236,,,low_rows(236)
CHECU.parquet,14,,,low_rows(14)
CHOW.parquet,14,,,low_rows(14)
CHPG.parquet,74,,,low_rows(74)
CHPGR.parquet,1,,,low_rows(1)
CHPGU.parquet,90,,,low_rows(90)
CHPX.parquet,3,,,low_rows(3)
CHPY.parquet,124,,,low_rows(124)
CHRI.parquet,8,,,low_rows(8)
CHYM.parquet,79,,,low_rows(79)
CICB.parquet,247,,,low_rows(247)
CIGL.parquet,116,,,low_rows(116)
CIMP.parquet,12,,,low_rows(12)
CJMB.parquet,167,,,low_rows(167)
CLCG.parquet,52,,,low_rows(52)
CLCV.parquet,52,,,low_rows(52)
CLIK.parquet,247,,,low_rows(247)
CLSX.parquet,14,,,low_rows(14)
CMDB.parquet,108,,,low_rows(108)
CNQQ.parquet,6,,,low_rows(6)
COIA.parquet,18,,,low_rows(18)
COIG.parquet,140,,,low_rows(140)
COII.parquet,85,,,low_rows(85)
COIO.parquet,37,,,low_rows(37)
COIW.parquet,158,,,low_rows(158)
